,trainidx,testidx,validx,nfidx
6403,mp-1187771,,,mp-676252
6404,mp-1224416,,,mp-684000
6405,mp-1096976,,,mp-650524
6406,mp-31416,,,mp-555570
6407,mp-1080330,,,mp-560832
6408,mp-1111026,,,mp-675093
6409,mp-2675,,,mp-730074
6410,mp-1222958,,,mp-28001
6411,mp-865159,,,mp-10386
6412,mp-569431,,,mp-977230
6413,mp-540950,,,mp-2109
6414,mp-1189509,,,mp-776110
6415,mp-28673,,,mp-695367
6416,mp-867177,,,mp-695597
6417,mp-643243,,,mvc-10751
6418,mp-28983,,,mp-556841
6419,mp-13056,,,mp-759877
6420,mp-556135,,,mvc-1178
6421,mp-4697,,,mp-865652
6422,mp-571262,,,mp-27595
6423,mp-1102890,,,mp-1009217
6424,mp-1217820,,,mp-25456
6425,mp-1025359,,,mp-757850
6426,mp-8267,,,mp-756686
6427,mp-542565,,,mp-540955
6428,mp-1186998,,,mp-760062
6429,mp-1225129,,,mp-1029959
6430,mp-1104739,,,mp-770402
6431,mp-1187304,,,mp-761827
6432,mp-753768,,,mp-656852
6433,mp-2843,,,mp-766971
6434,mp-690769,,,mp-1178999
6435,mp-30622,,,mp-568423
6436,mp-1219199,,,mp-753721
6437,mp-1077107,,,mp-677095
6438,mp-865689,,,mp-23015
6439,mp-605252,,,mp-27331
6440,mp-1225386,,,mp-556783
6441,mp-1188018,,,mp-768273
6442,mp-1181699,,,mp-864976
6443,mp-13456,,,mp-757966
6444,mp-1193673,,,mp-1179130
6445,mp-9588,,,mp-754041
6446,mp-8960,,,mp-673854
6447,mp-1188056,,,mp-722318
6448,mp-707443,,,mp-540940
6449,mp-1226654,,,mp-560578
6450,mp-4870,,,mp-753425
6451,mp-1189755,,,mp-778103
6452,mp-975170,,,mp-695698
6453,mp-1222026,,,mp-37498
6454,mp-1080575,,,mp-571569
6455,mp-554518,,,mp-976339
6456,mp-866096,,,mp-771642
6457,mp-549127,,,mp-28211
6458,mp-1211,,,mp-758891
6459,mp-3991,,,mp-1019742
6460,mp-752735,,,mp-673656
6461,mp-676644,,,mp-697072
6462,mp-684904,,,mp-757327
6463,mp-3172,,,mp-1182391
6464,mp-29663,,,mp-558498
6465,mp-28453,,,mvc-9736
6466,mp-1220389,,,mp-1029677
6467,mp-684477,,,mp-766287
6468,mp-632667,,,mp-558083
6469,mp-16741,,,mp-31499
6470,mp-642725,,,mp-677780
6471,mp-644221,,,mp-662570
6472,mp-31000,,,mp-29147
6473,mp-22268,,,mp-707989
6474,mp-28424,,,mp-722904
6475,mp-618788,,,mp-764648
6476,mp-5399,,,mp-734123
6477,mp-1207078,,,mp-608655
6478,mp-862983,,,mp-696056
6479,mp-973892,,,mp-720655
6480,mp-636821,,,mp-768865
6481,mvc-7286,,,mp-754979
6482,mp-21479,,,mp-3151
6483,mp-977557,,,mp-975321
6484,mp-1185545,,,mp-699232
6485,mp-1225798,,,mp-571575
6486,mp-54,,,mp-769409
6487,mp-1009752,,,mp-1020671
6488,mp-19986,,,mp-607267
6489,mp-1105025,,,mp-621932
6490,mp-6992,,,mp-758310
6491,mp-972741,,,mp-777749
6492,mp-23056,,,mp-733729
6493,mp-5924,,,mp-29087
6494,mp-32795,,,mp-756198
6495,mp-1078588,,,mp-18317
6496,mp-1358,,,mp-26594
6497,mp-867774,,,mp-698351
6498,mp-759722,,,mp-759838
6499,mp-1206674,,,mp-28728
6500,mp-1227272,,,mp-730585
6501,mp-1184582,,,mp-774483
6502,mp-2142,,,mp-616260
6503,mp-24646,,,mp-21730
6504,mp-542933,,,mp-707129
6505,mp-637614,,,mp-755367
6506,mp-1094980,,,mp-626414
6507,mp-17322,,,mp-6744
6508,mp-978500,,,mp-560423
6509,mp-1105784,,,mvc-16293
6510,mp-1672,,,mp-752826
6511,mp-570912,,,mp-555438
6512,mp-559939,,,mp-975395
6513,mp-12362,,,mp-1029899
6514,mp-1102035,,,mp-850221
6515,mp-1101397,,,mp-867700
6516,mp-1183765,,,mp-572604
6517,mp-1185024,,,mp-706629
6518,mp-8291,,,mp-540714
6519,mp-1181713,,,mp-560336
6520,mp-3217,,,mp-541830
6521,mp-569465,,,mp-675208
6522,mp-1104294,,,mp-557384
6523,mp-1101873,,,mp-675195
6524,mp-1187144,,,mp-28179
6525,mp-11454,,,mp-759251
6526,mp-21308,,,mp-721049
6527,mp-510409,,,mp-770469
6528,mp-768146,,,mp-776319
6529,mp-1025387,,,mp-9612
6530,mp-568130,,,mp-769045
6531,mp-1077,,,mp-558270
6532,mp-10125,,,mvc-8632
6533,mp-3909,,,mp-2981
6534,mp-626564,,,mp-863370
6535,mp-20469,,,mp-769239
6536,mp-24103,,,mvc-1660
6537,mp-1206001,,,mp-7652
6538,mp-8211,,,mp-21656
6539,mp-5598,,,mp-676443
6540,mp-1178667,,,mp-766310
6541,mp-1029444,,,mp-676014
6542,mp-16837,,,mp-757098
6543,mp-8986,,,mp-675606
6544,mp-1184118,,,mp-777787
6545,mp-1220051,,,mp-676262
6546,mp-558960,,,mvc-8898
6547,mp-570700,,,mp-2868
6548,mp-1095485,,,mp-780243
6549,mp-1226974,,,mp-722729
6550,mp-1218996,,,mp-685044
6551,mp-558959,,,mp-28570
6552,mp-1189372,,,mp-733877
6553,mp-31190,,,mp-554560
6554,mp-1078110,,,mp-756202
6555,mp-1191661,,,mp-767146
6556,mp-1080129,,,mp-720111
6557,mp-20450,,,mp-977113
6558,mp-1071152,,,mp-706276
6559,mp-1187332,,,mp-569098
6560,mp-1194164,,,mp-766343
6561,mp-642273,,,mp-555921
6562,mp-1102307,,,mp-865604
6563,mp-10175,,,mp-647226
6564,mp-137,,,mp-754266
6565,mp-568696,,,mp-849433
6566,mp-1205322,,,mp-756035
6567,mp-9186,,,mp-753719
6568,mp-30698,,,mp-1178602
6569,mp-867910,,,mp-6757
6570,mp-1025574,,,mp-28016
6571,mp-861503,,,mp-865043
6572,mvc-600,,,mp-769802
6573,mp-567076,,,mp-600037
6574,mp-1219039,,,mp-676191
6575,mp-976150,,,mp-570061
6576,mp-1008226,,,mp-29109
6577,mp-8192,,,mp-673669
6578,mp-849079,,,mp-755061
6579,mp-1006242,,,mp-862933
6580,mp-557441,,,mp-756656
6581,mp-22898,,,mp-560366
6582,mp-567588,,,mp-1182901
6583,mp-1078453,,,mvc-10706
6584,mp-6252,,,mp-18177
6585,mp-753957,,,mp-693132
6586,mp-977189,,,mp-13792
6587,mp-21463,,,mp-672297
6588,mp-570597,,,mp-755798
6589,mp-570334,,,mp-1029580
6590,mp-961724,,,mp-1019548
6591,mp-1017563,,,mp-604304
6592,mp-1069461,,,mp-680761
6593,mp-1087509,,,mp-994911
6594,mp-999484,,,mp-720572
6595,mp-570621,,,mp-979081
6596,mp-1184848,,,mvc-7627
6597,mp-29674,,,mp-561308
6598,mp-3849,,,mp-561237
6599,mp-1190185,,,mp-25907
6600,mp-22158,,,mp-680462
6601,mp-1193688,,,mp-553966
6602,mp-4195,,,mp-557111
6603,mp-1206691,,,mp-998430
6604,mp-862763,,,mp-555971
6605,mp-1189350,,,mp-559136
6606,mp-20203,,,mp-14216
6607,mp-567480,,,mp-26113
6608,mp-555792,,,mp-704836
6609,mp-3805,,,mp-1244788
6610,mp-1194419,,,mp-976599
6611,mp-1106184,,,mp-697981
6612,mp-1095546,,,mp-778973
6613,mp-460,,,mp-557256
6614,mp-734,,,mp-21639
6615,mp-19836,,,mp-29315
6616,mp-3744,,,mp-656615
6617,mp-756448,,,mp-569388
6618,mp-1184341,,,mp-707907
6619,mp-979940,,,mp-654199
6620,mp-1225317,,,mp-1181007
6621,mp-510164,,,mp-975103
6622,mp-1018630,,,mp-760319
6623,mp-30062,,,mp-8711
6624,mp-1191784,,,mp-977059
6625,mp-862875,,,mp-772045
6626,mp-753594,,,mp-558954
6627,mp-542804,,,mp-675918
6628,mp-866157,,,mp-640564
6629,mp-29821,,,mp-754092
6630,mp-1183503,,,mp-760425
6631,mp-1178197,,,mp-28161
6632,mp-606121,,,mp-27731
6633,mp-1005727,,,mp-707900
6634,mp-628606,,,mp-11299
6635,mp-977443,,,mp-708984
6636,mp-22556,,,mp-541341
6637,mp-9069,,,mp-697671
6638,mp-643306,,,mp-505260
6639,mp-12834,,,mp-772074
6640,mp-22211,,,mp-558867
6641,mp-16756,,,mp-559484
6642,mp-1183641,,,mp-504957
6643,mp-556111,,,mp-21527
6644,mp-30047,,,mp-554336
6645,mp-1282,,,mp-995194
6646,mp-2120,,,mp-35717
6647,mp-680550,,,mp-754661
6648,mp-17287,,,mp-755853
6649,mp-1094703,,,mp-23007
6650,mp-1025047,,,mp-685819
6651,mp-5514,,,mp-554682
6652,mp-1223086,,,mp-757073
6653,mp-5305,,,mp-31259
6654,mp-568172,,,mp-675978
6655,mvc-6547,,,mp-27093
6656,mp-677067,,,mp-760683
6657,mp-1215478,,,mp-753973
6658,mp-971891,,,mp-752429
6659,mp-979041,,,mp-735603
6660,mp-540900,,,mp-8482
6661,mp-1025304,,,mp-6575
6662,mp-21231,,,mp-557649
6663,mp-675625,,,mp-752856
6664,mp-22915,,,mp-703550
6665,mp-7405,,,mp-505088
6666,mp-1188344,,,mp-676646
6667,mp-1114084,,,mp-1030616
6668,mp-1184173,,,mp-1027448
6669,mp-979258,,,mp-672336
6670,mp-560923,,,mp-605078
6671,mp-1106096,,,mp-766341
6672,mp-1079564,,,mp-768971
6673,mp-1191432,,,mp-754417
6674,mp-1184006,,,mp-1017509
6675,mp-567082,,,mp-24638
6676,mp-23560,,,mp-1029250
6677,mp-1216447,,,mp-686742
6678,mp-22729,,,mp-560965
6679,mp-19915,,,mp-1030404
6680,mp-634977,,,mp-772408
6681,mp-14142,,,mp-782047
6682,mp-1223427,,,mp-1027711
6683,mp-1183554,,,mp-709723
6684,mp-12226,,,mvc-9505
6685,mp-1027608,,,mp-14050
6686,mp-1106051,,,mp-772876
6687,mp-1184524,,,mp-542884
6688,mp-20325,,,mp-685266
6689,mp-861604,,,mp-556015
6690,mp-1187329,,,mp-541361
6691,mp-542769,,,mp-675526
6692,mp-862892,,,mvc-1926
6693,mp-1188365,,,mp-541860
6694,mp-669354,,,mp-667400
6695,mp-21136,,,mp-772919
6696,mp-560261,,,mp-572951
6697,mp-24192,,,mp-740731
6698,mp-18576,,,mp-568872
6699,mp-9711,,,mp-680059
6700,mp-1095630,,,mp-867952
6701,mp-556880,,,mp-780061
6702,mp-554781,,,mp-779434
6703,mp-4353,,,mp-570755
6704,mp-979431,,,mp-675278
6705,mp-1192283,,,mp-27340
6706,mp-865782,,,mp-706525
6707,mp-631408,,,mp-21559
6708,mp-1194045,,,mp-683941
6709,mp-1069054,,,mp-776084
6710,mp-976129,,,mp-560021
6711,mp-3435,,,mp-686183
6712,mp-977325,,,mp-722472
6713,mp-1187865,,,mp-752426
6714,mp-754610,,,mp-673059
6715,mp-1080608,,,mp-673118
6716,mp-11722,,,mp-532727
6717,mp-20745,,,mp-778086
6718,mp-1981,,,mp-865579
6719,mp-1080821,,,mp-27318
6720,mp-1186562,,,mp-760599
6721,mp-2061,,,mp-555497
6722,mp-1104036,,,mp-677454
6723,mp-865947,,,mp-758382
6724,mp-1187026,,,mp-504760
6725,mp-865255,,,mp-569525
6726,mp-1190236,,,mp-684497
6727,mp-1079050,,,mp-769393
6728,mp-1181952,,,mp-776260
6729,mp-1194108,,,mp-865890
6730,mp-4171,,,mp-31060
6731,mp-568949,,,mp-723145
6732,mp-4252,,,mp-676645
6733,mp-1184785,,,mp-755043
6734,mp-1069983,,,mp-674366
6735,mp-1186312,,,mp-866063
6736,mp-673,,,mp-675504
6737,mp-569623,,,mp-580480
6738,mp-7703,,,mp-24072
6739,mp-867332,,,mp-977391
6740,mp-1070557,,,mp-557395
6741,mp-669326,,,mp-769070
6742,mp-983584,,,mp-708184
6743,mp-982381,,,mp-674940
6744,mp-10246,,,mp-1193692
6745,mp-1187827,,,mp-30107
6746,mp-696986,,,mp-569853
6747,mp-979026,,,mp-679987
6748,mp-6680,,,mp-976118
6749,mp-1186297,,,mp-978277
6750,mp-13536,,,mp-26157
6751,mp-1187841,,,mp-766504
6752,mp-510350,,,mp-754085
6753,mp-30713,,,mp-1014264
6754,mp-1102006,,,mp-30313
6755,mp-2998,,,mp-601902
6756,mp-29803,,,mp-867839
6757,mp-572271,,,mp-22830
6758,mp-1193221,,,mp-24505
6759,mp-1226469,,,mvc-10396
6760,mp-1188929,,,mp-769319
6761,mp-1207217,,,mp-977188
6762,mp-753164,,,mp-560768
6763,mp-973623,,,mp-1262165
6764,mp-555726,,,mvc-1620
6765,mp-2225,,,mp-696157
6766,mp-1080424,,,mp-30542
6767,mp-757306,,,mp-721582
6768,mp-999052,,,mp-532273
6769,mp-505629,,,mp-698440
6770,mp-989561,,,mp-684042
6771,mp-1220277,,,mp-707852
6772,mp-558314,,,mp-627029
6773,mp-542569,,,mp-760162
6774,mp-568670,,,mp-768267
6775,mp-568672,,,mp-561241
6776,mp-1100418,,,mp-1181385
6777,mp-1223868,,,mp-38240
6778,mp-555893,,,mvc-10351
6779,mp-32880,,,mp-554532
6780,mp-698417,,,mp-1030332
6781,mp-1219510,,,mp-752402
6782,mp-2205,,,mp-1258702
6783,mp-1224599,,,mp-29019
6784,mp-1205778,,,mp-768735
6785,mp-1105296,,,mp-989649
6786,mp-1226962,,,mp-626127
6787,mp-979945,,,mvc-3091
6788,mp-675929,,,mp-30324
6789,mp-1105574,,,mp-752881
6790,mp-981314,,,mp-780403
6791,mp-1221774,,,mp-779773
6792,mp-1217528,,,mp-867674
6793,mp-1077482,,,mp-560192
6794,mp-977057,,,mp-5026
6795,mp-23026,,,mp-554572
6796,mp-567832,,,mp-1027436
6797,mp-20882,,,mp-555067
6798,mp-569302,,,mp-862681
6799,mp-4728,,,mp-24383
6800,mp-1183581,,,mp-755887
6801,mp-772968,,,mp-27267
6802,mp-1226017,,,mp-781997
6803,mp-1101654,,,mp-676083
6804,mp-1018097,,,mp-769008
6805,mp-557146,,,mp-767431
6806,mp-557136,,,mp-556894
6807,mp-1208943,,,mp-640286
6808,mp-23066,,,mp-554016
6809,mp-631376,,,mp-626566
6810,mp-1025536,,,mp-753751
6811,mp-782,,,mp-1022514
6812,mp-684597,,,mp-28791
6813,mp-13041,,,mp-4971
6814,mp-631424,,,mp-625687
6815,mp-997099,,,mp-772822
6816,mp-10893,,,mp-556814
6817,mp-12982,,,mvc-16742
6818,mp-3972,,,mp-759449
6819,mp-769173,,,mp-645291
6820,mp-22127,,,mp-28103
6821,mp-1187962,,,mp-677670
6822,mp-12343,,,mp-778458
6823,mp-20543,,,mp-570285
6824,mp-1029387,,,mp-560266
6825,mp-1104449,,,mvc-16287
6826,mp-989582,,,mp-754637
6827,mp-1105622,,,mp-560216
6828,mp-1104053,,,mp-560835
6829,mp-14448,,,mp-625886
6830,mp-1080562,,,mp-752863
6831,mp-559745,,,mp-1027169
6832,mp-685149,,,mp-560032
6833,mp-3939,,,mp-667374
6834,mp-23293,,,mp-560934
6835,mp-861641,,,mp-559711
6836,mp-22724,,,mp-640080
6837,mp-4630,,,mp-776032
6838,mp-557696,,,mp-721707
6839,mp-1221790,,,mp-778072
6840,mp-1189574,,,mp-560538
6841,mp-1215904,,,mp-600182
6842,mp-1183208,,,mp-757048
6843,mp-1077266,,,mp-555650
6844,mp-33670,,,mp-679967
6845,mp-562442,,,mp-23410
6846,mp-22876,,,mp-752459
6847,mp-16331,,,mvc-9241
6848,mp-1187173,,,mp-867773
6849,mp-1025769,,,mp-862686
6850,mp-1192637,,,mp-626542
6851,mp-977543,,,mp-1029656
6852,mp-976422,,,mp-1027634
6853,mp-978919,,,mp-28812
6854,mp-1700,,,mp-563032
6855,mp-1206239,,,mvc-8705
6856,mp-89,,,mp-569685
6857,mp-1092281,,,mp-1202665
6858,mp-1111501,,,mp-677061
6859,mp-22896,,,mp-722790
6860,mp-1219918,,,mp-769809
6861,mp-776172,,,mp-543032
6862,mp-1205583,,,mp-1263520
6863,mp-559868,,,mp-35876
6864,mp-505435,,,mp-757660
6865,mp-27264,,,mp-1029166
6866,mp-28611,,,mp-559706
6867,mp-1184485,,,mp-756798
6868,mp-1006278,,,mp-22046
6869,mp-978089,,,mp-757612
6870,mp-1226672,,,mp-560843
6871,mp-902,,,mp-37024
6872,mp-1118,,,mp-6813
6873,mp-3161,,,mp-1204567
6874,mp-1205681,,,mp-723054
6875,mp-561486,,,mp-753131
6876,mp-1193682,,,mp-615760
6877,mp-510482,,,mp-556273
6878,mp-972411,,,mp-622262
6879,mp-625181,,,mp-866308
6880,mp-1027569,,,mp-1029978
6881,mp-974933,,,mp-504805
6882,mp-554941,,,mp-561084
6883,mp-1188828,,,mvc-6621
6884,mp-1218354,,,mp-560042
6885,mp-557488,,,mp-1030721
6886,mp-1206287,,,mp-862660
6887,mp-962078,,,mp-23403
6888,mp-1025150,,,mp-768570
6889,mp-982724,,,mp-12746
6890,mp-17916,,,mp-560653
6891,mp-972300,,,mp-685991
6892,mp-1227033,,,mp-28275
6893,mp-1187871,,,mp-1191693
6894,mp-11538,,,mp-777292
6895,mp-30741,,,mp-771762
6896,mp-1207172,,,mp-983123
6897,mp-20044,,,mp-28046
6898,mp-1194184,,,mp-556812
6899,mp-976072,,,mp-720810
6900,mp-2544,,,mp-619546
6901,mp-9774,,,mp-1178859
6902,mp-22785,,,mp-685109
6903,mp-13009,,,mp-555160
6904,mp-998861,,,mp-674484
6905,mp-555392,,,mp-1030120
6906,mp-542727,,,mp-680183
6907,mp-1019257,,,mp-865580
6908,mp-20112,,,mp-1199589
6909,mp-626644,,,mp-743656
6910,mp-20440,,,mp-37692
6911,mp-3474,,,mp-770478
6912,mp-1180313,,,mp-9722
6913,mp-760491,,,mp-557969
6914,mp-1217321,,,mp-760136
6915,mp-1224820,,,mp-11953
6916,mp-570076,,,mp-17433
6917,mp-1186665,,,mp-685128
6918,mp-1183997,,,mp-557961
6919,mp-706430,,,mp-707343
6920,mp-1191868,,,mp-36007
6921,mp-867823,,,mp-615833
6922,mp-1226788,,,mp-680679
6923,mp-972511,,,mp-24473
6924,mp-676249,,,mp-776410
6925,mp-1215371,,,mp-1180496
6926,mp-1215242,,,mp-697645
6927,mp-2275,,,mp-555700
6928,mp-865991,,,mp-771160
6929,mp-4360,,,mp-977374
6930,mp-1187686,,,mp-757047
6931,mp-1018179,,,mp-570998
6932,mp-1147768,,,mp-558970
6933,mp-28731,,,mp-690919
6934,mp-1064731,,,mp-1182042
6935,mp-1106402,,,mp-754173
6936,mp-1027687,,,mp-758192
6937,mp-1079949,,,mp-771240
6938,mp-27758,,,mp-755486
6939,mp-1019317,,,mp-559251
6940,mp-21267,,,mvc-16625
6941,mp-8676,,,mp-759713
6942,mp-1068248,,,mp-657543
6943,mp-637206,,,mp-707879
6944,mp-1183418,,,mp-553891
6945,mp-645295,,,mp-623038
6946,mp-865273,,,mp-559962
6947,mp-1223646,,,mp-756724
6948,mp-1206215,,,mp-557248
6949,mp-1206134,,,mp-14049
6950,mp-30061,,,mp-571390
6951,mp-30676,,,mp-677042
6952,mp-7534,,,mp-973684
6953,mp-631466,,,mp-560601
6954,mp-1187481,,,mp-570602
6955,mp-7384,,,mp-736330
6956,mp-29308,,,mp-771832
6957,mp-1188834,,,mp-752397
6958,mp-1078624,,,mp-2351
6959,mp-1095504,,,mvc-8138
6960,mp-1191513,,,mp-1030950
6961,mp-1189233,,,mp-541433
6962,mp-4536,,,mp-976075
6963,mp-570857,,,mp-680498
6964,mp-8045,,,mp-9160
6965,mp-1228918,,,mp-21651
6966,mp-10777,,,mvc-9477
6967,mp-1183606,,,mp-690978
6968,mp-1183509,,,mp-541001
6969,mp-696776,,,mp-758842
6970,mp-1079155,,,mp-757853
6971,mp-1190028,,,mp-760408
6972,mp-1070789,,,mp-775975
6973,mp-1066254,,,mp-669542
6974,mp-1191949,,,mp-571490
6975,mp-760501,,,mp-6995
6976,mp-1216814,,,mp-755779
6977,mp-2716,,,mp-769002
6978,mp-16365,,,mp-676311
6979,mvc-274,,,mp-777423
6980,mp-1095692,,,mp-1018796
6981,mp-1217996,,,mp-976321
6982,mp-571000,,,mp-867741
6983,mp-867328,,,mp-754893
6984,mp-862600,,,mp-776278
6985,mp-977437,,,mp-571603
6986,mp-755364,,,mp-757889
6987,mp-1187779,,,mp-755549
6988,mp-1080489,,,mp-558349
6989,mp-1080064,,,mp-753890
6990,mp-1080815,,,mp-26247
6991,mp-3807,,,mp-772869
6992,mp-1208100,,,mp-557123
6993,mp-21205,,,mp-675711
6994,mp-975200,,,mp-753195
6995,mp-1077383,,,mvc-16139
6996,mp-30100,,,mp-760782
6997,mp-1079988,,,mp-707508
6998,mp-22249,,,mp-5800
6999,mp-31125,,,mp-775803
7000,mp-9784,,,mp-626554
7001,mp-1223880,,,mp-977369
7002,mp-865733,,,mp-675300
7003,mp-1095059,,,mp-631895
7004,mp-571535,,,mp-978258
7005,mp-1013559,,,mp-755576
7006,mp-557453,,,mp-752437
7007,mp-11625,,,mp-757388
7008,mp-1183165,,,mp-675514
7009,mp-1020715,,,mp-6706
7010,mp-545,,,mp-561382
7011,mp-11750,,,mvc-6330
7012,mp-6019,,,mp-39003
7013,mp-560381,,,mp-695278
7014,mp-1186296,,,mp-1030338
7015,mp-13312,,,mp-773129
7016,mp-1009221,,,mp-676156
7017,mp-8615,,,mp-695043
7018,mp-1226733,,,mp-10791
7019,mp-31091,,,mp-759821
7020,mp-1187858,,,mp-974322
7021,mp-1967,,,mp-695133
7022,mp-8090,,,mvc-16249
7023,mp-1191574,,,mp-770812
7024,mp-20061,,,mp-17455
7025,mp-29524,,,mp-699151
7026,mp-27501,,,mp-621960
7027,mp-631302,,,mp-573727
7028,mp-554416,,,mp-560961
7029,mp-1219523,,,mvc-610
7030,mp-1219922,,,mp-541687
7031,mp-973968,,,mp-866711
7032,mp-20017,,,mp-1019733
7033,mp-555314,,,mp-685126
7034,mp-541766,,,mp-23666
7035,mp-631619,,,mp-685318
7036,mp-1228815,,,mp-675786
7037,mp-1094027,,,mp-555503
7038,mp-1184717,,,mp-1028709
7039,mp-867880,,,mp-866830
7040,mp-30930,,,mp-766196
7041,mp-1184036,,,mp-752439
7042,mp-561424,,,mp-38307
7043,mp-11489,,,mp-863365
7044,mp-1078200,,,mp-31135
7045,mp-5983,,,mvc-6520
7046,mp-28358,,,mp-850864
7047,mp-622086,,,mp-29450
7048,mp-10023,,,mp-780764
7049,mp-22592,,,mp-651768
7050,mp-1207181,,,mp-18318
7051,mp-1084838,,,mp-684990
7052,mp-1205512,,,mp-838
7053,mp-5075,,,mp-758520
7054,mp-1027115,,,mp-30308
7055,mp-753314,,,mp-27805
7056,mp-1187252,,,mp-972536
7057,mp-706913,,,mp-541157
7058,mp-1186021,,,mp-707746
7059,mp-2719,,,mp-27297
7060,mp-1104686,,,mp-24761
7061,mp-10620,,,mp-765486
7062,mp-1206987,,,mp-568203
7063,mp-8914,,,mp-1180588
7064,mp-11912,,,mp-559088
7065,mp-7469,,,mvc-327
7066,mp-1227398,,,mp-559849
7067,mp-976830,,,mp-673814
7068,mp-1106288,,,mp-767404
7069,mp-13079,,,mp-569787
7070,mvc-7896,,,mp-675430
7071,mp-675672,,,mp-1028586
7072,mp-1188564,,,mp-17240
7073,mp-7386,,,mp-605047
7074,mp-557376,,,mvc-7493
7075,mp-30156,,,mp-555151
7076,mp-645330,,,mp-769384
7077,mp-1187639,,,mp-32711
7078,mp-16765,,,mp-697260
7079,mp-755714,,,mvc-9702
7080,mp-657338,,,mp-772193
7081,mp-1180036,,,mvc-10452
7082,mp-4584,,,mp-21644
7083,mp-1183778,,,mp-976406
7084,mp-1077071,,,mp-619034
7085,mp-1071588,,,mp-769159
7086,mp-28800,,,mp-29722
7087,mp-6938,,,mp-1019716
7088,mp-862829,,,mp-755139
7089,mp-1184743,,,mp-772779
7090,mp-1070242,,,mp-676230
7091,mp-582572,,,mp-560927
7092,mp-22312,,,mp-9380
7093,mp-560853,,,mp-766505
7094,mp-23657,,,mp-1019539
7095,mp-572465,,,mp-775829
7096,mp-754696,,,mp-696057
7097,mp-18045,,,mp-559833
7098,mp-556239,,,mp-583084
7099,mp-685935,,,mp-641541
7100,mp-569825,,,mp-675562
7101,mp-21104,,,mp-752535
7102,mp-754307,,,mp-557787
7103,mp-1087238,,,mp-762351
7104,mp-7601,,,mvc-9735
7105,mp-1183463,,,mp-8614
7106,mp-12707,,,mp-505132
7107,mp-862368,,,mp-27798
7108,mp-643359,,,mp-28198
7109,mp-631535,,,mp-768207
7110,mp-28293,,,mp-707501
7111,mp-755007,,,mp-558958
7112,mp-18099,,,mp-695895
7113,mp-1187384,,,mp-3872
7114,mp-556463,,,mp-772181
7115,mp-997001,,,mp-753515
7116,mp-22221,,,mp-788
7117,mp-1223984,,,mp-779413
7118,mp-570863,,,mp-734160
7119,mp-570907,,,mp-1105328
7120,mp-647374,,,mp-568314
7121,mp-1216893,,,mp-760370
7122,mp-1223948,,,mp-720712
7123,mp-10025,,,mp-736217
7124,mp-18285,,,mp-721552
7125,mp-616026,,,mp-14650
7126,mp-8127,,,mvc-8773
7127,mp-17474,,,mp-560235
7128,mp-1207607,,,mp-567593
7129,mp-632656,,,mp-995238
7130,mp-1080281,,,mp-14648
7131,mp-38238,,,mp-510349
7132,mp-17746,,,mp-571412
7133,mp-973433,,,mp-530303
7134,mp-22272,,,mp-30179
7135,mp-975425,,,mp-559955
7136,mp-3288,,,mp-17538
7137,mp-1185050,,,mp-756286
7138,mp-1193534,,,mp-1028826
7139,mp-557991,,,mp-1027692
7140,mp-999126,,,mp-647725
7141,mp-9371,,,mvc-9695
7142,mp-556982,,,mp-770884
7143,mp-546320,,,mp-28848
7144,mvc-16786,,,mp-766134
7145,mp-31027,,,mp-685002
7146,mp-1028827,,,mvc-2651
7147,mp-27698,,,mp-17997
7148,mp-1222068,,,mp-34121
7149,mp-1025185,,,mp-861661
7150,mp-20612,,,mp-773066
7151,mp-1184963,,,mp-683949
7152,mp-999473,,,mp-776168
7153,mp-573909,,,mp-1008727
7154,mp-1229134,,,mp-753123
7155,mp-18165,,,mp-985286
7156,mp-1226648,,,mp-753315
7157,mp-642,,,mp-738680
7158,mp-865343,,,mp-765567
7159,mp-567712,,,mp-691043
7160,mp-20599,,,mp-8416
7161,mp-1112564,,,mp-975972
7162,mp-1221565,,,mp-558458
7163,mp-20963,,,mp-695365
7164,mp-1104157,,,mvc-270
7165,mp-676828,,,mp-850532
7166,mp-1101094,,,mp-698365
7167,mp-3387,,,mp-2878
7168,mp-31205,,,mp-774539
7169,mp-1091417,,,mp-13944
7170,mp-9996,,,mp-766361
7171,mp-650619,,,mp-765573
7172,mp-21176,,,mp-755776
7173,mp-22886,,,mp-541537
7174,mp-1224793,,,mp-8602
7175,mp-669914,,,mp-720469
7176,mp-17889,,,mp-17382
7177,mp-1106,,,mp-1027437
7178,mp-1187824,,,mp-695209
7179,mp-1183070,,,mp-773438
7180,mp-698329,,,mp-30305
7181,mp-567912,,,mp-554590
7182,mp-36248,,,mp-571553
7183,mp-973875,,,mp-754237
7184,mp-28516,,,mp-16167
7185,mp-561149,,,mp-674338
7186,mp-1407,,,mp-777314
7187,mp-1025571,,,mp-758758
7188,mp-631506,,,mp-779105
7189,mvc-7057,,,mp-1030685
7190,mp-865833,,,mp-721059
7191,mp-676360,,,mp-770289
7192,mp-1179570,,,mp-707985
7193,mp-27834,,,mp-683974
7194,mp-1102611,,,mp-753940
7195,mp-1184283,,,mp-1029922
7196,mp-3679,,,mp-24135
7197,mp-23499,,,mp-867293
7198,mp-1186763,,,mp-673696
7199,mp-23930,,,mp-721618
7200,mp-8869,,,mp-571540
7201,mp-1549,,,mp-1028694
